id,lesson_id,title,content,quiz_id
1,sp1,What is Fluency?,"Fluency refers to your ability to speak continuously without unnatural pauses or hesitation. In IELTS Speaking, fluency does not mean speaking very fast. Instead, it means speaking at a natural speed while clearly expressing your ideas. Many candidates lose marks because they stop too often, repeat words excessively, or struggle to continue their answers. Short pauses are acceptable, but long silences should be avoided. Example: ❌ 'I like my hometown… um… because… it is… nice.' ✅ 'I like my hometown because it is a peaceful place with friendly people.'",NULL
2,sp1,What is Coherence?,"Coherence is about organizing ideas logically so that the listener can easily follow what you are saying. This is achieved by using linking words and phrases to connect ideas smoothly. Common linking words include: and, but, because, however, for example, in my opinion. Example: 'I enjoy my job because it allows me to meet new people. Moreover, it helps me improve my communication skills.'",NULL
3,sp1,Common Fluency Problems,"Some common fluency problems include overusing fillers such as 'uh,' 'um,' or repeating the same idea multiple times. These habits reduce clarity and coherence. Instead, candidates should practice extending answers naturally and using simple connectors. Example Tip: Instead of stopping, add a reason or example: 'I like reading because it helps me relax after work.'",quiz_sp1
4,sp2,Understanding Pronunciation,"Pronunciation is about how clearly you produce individual sounds in English. It's not about having a native accent, but about being understood. Focus on problematic sounds like /θ/ (think), /ð/ (this), /v/ (very), and /w/ (water). Practice minimal pairs: ship/sheep, bad/bed, walk/work. Clear pronunciation helps examiners understand you better.",NULL
5,sp2,Word Stress & Sentence Stress,"English uses stress to convey meaning. Word stress: PHOtograph (noun) vs phoTOgraphy (noun) vs photoGRAPHic (adjective). Sentence stress: Content words (nouns, verbs, adjectives) are stressed, while function words (articles, prepositions) are unstressed. Example: 'I WENT to the STORE to BUY some MILK.' Proper stress makes your speech sound natural.",NULL
6,sp2,Intonation Patterns,"Intonation is the rise and fall of your voice. Rising intonation (↗) is used for yes/no questions: 'Do you like coffee?↗' Falling intonation (↘) is used for statements and wh-questions: 'I love coffee.↘' 'Where do you live?↘' Good intonation shows confidence and helps convey your meaning clearly.",quiz_sp2
7,sp3,Using Varied Vocabulary,"Instead of repeating the same words, use synonyms and paraphrases. For example, instead of saying 'good' repeatedly, use: excellent, wonderful, fantastic, beneficial, advantageous. Instead of 'important': crucial, vital, significant, essential. This demonstrates your lexical resource and impresses examiners.",NULL
8,sp3,Topic-Specific Vocabulary,"Prepare vocabulary for common IELTS topics: Work (career prospects, job satisfaction, work-life balance), Education (curriculum, academic performance, extracurricular activities), Environment (pollution, sustainability, carbon footprint), Technology (innovation, digital age, automation). Having topic-specific words ready helps you speak more confidently.",NULL
9,sp3,Idiomatic Expressions & Collocations,"Use natural English expressions: 'make a decision' (not 'do a decision'), 'heavy rain' (not 'strong rain'), 'do homework' (not 'make homework'). Common idioms: 'it's a piece of cake' (very easy), 'hit the books' (study hard), 'break the ice' (start a conversation). Use these naturally, not forcefully.",quiz_sp3
10,sp4,Using Complex Sentences,"Combine simple sentences using conjunctions: Although it was raining, I went for a walk. Use relative clauses: The book that I read yesterday was fascinating. Conditional sentences: If I had more time, I would travel more. Complex sentences show grammatical range and help you achieve higher band scores.",NULL
