id,title
quiz_sp1,Fluency & Coherence Quiz
quiz_sp2,Pronunciation & Intonation Quiz
quiz_sp3,Lexical Resource Quiz
quiz_sp4,Grammar in Speaking Quiz
quiz_sp5,Part 2 Cue Card Quiz
quiz_wr1,Task Achievement Quiz
quiz_wr2,Coherence & Cohesion Quiz
quiz_wr3,Writing Vocabulary Quiz
quiz_wr4,Grammar in Writing Quiz
quiz_wr5,Essay Types Quiz
quiz_li1,Specific Information Quiz
quiz_li2,Main Ideas Quiz
quiz_li3,Maps & Directions Quiz
quiz_li4,Note Completion Quiz
quiz_li5,Multiple Choice Quiz
quiz_re1,Skimming Quiz
quiz_re2,Scanning Quiz
quiz_re3,True/False/Not Given Quiz
quiz_re4,Matching Headings Quiz
quiz_re5,Summary Completion Quiz
