id,title,description,category,duration_minutes,created_at
1,Introduction to IELTS Speaking,Learn the basics of the Speaking test format.,Speaking,15,1/14/2026 4:20
2,Writing Task 1: Charts,How to describe bar charts effectively.,Writing,25,1/14/2026 4:20
3,Listening for Details,Techniques to catch specific information.,Listening,20,1/14/2026 4:20
4,Reading Skimming Techniques,Read faster and find answers quicker.,Reading,30,1/14/2026 4:20
l2,Predicting Answers,Use context to guess the type of word needed.,Listening,20,1/14/2026 4:20
l3,Listening to Accents,"Familiarize with British, Australian, and American accents.",Listening,15,1/14/2026 4:20
l4,Map Labeling,Navigating directions in Listening Section 2.,Listening,25,1/14/2026 4:20
r2,Scanning for Keywords,Locate information without reading every word.,Reading,15,1/14/2026 4:20
r3,"True, False, Not Given",Strategies to handle this tricky question type.,Reading,25,1/14/2026 4:20
r4,Matching Headings,Match the correct heading to paragraphs.,Reading,20,1/14/2026 4:20
s2,Speaking Part 2 Strategies,"Master the ""Long Turn"" with effective note-taking.",Speaking,15,1/14/2026 4:20
s3,Common Topics in Speaking Part 1,"Prepare for questions about home, work, and hobbies.",Speaking,10,1/14/2026 4:20
s4,Improving Fluency & Coherence,Speak naturally without too many pauses.,Speaking,20,1/14/2026 4:20
w2,Writing Task 2: Essay Structures,Organize your opinion or argument essays clearly.,Writing,30,1/14/2026 4:20
w3,Letter Writing (General Training),Formal vs Informal letters.,Writing,20,1/14/2026 4:20
w4,Vocabulary for Writing,Academic words to boost your score.,Writing,15,1/14/2026 4:20
